City,City_Zone,Locality,Latitude_Longitude,Exact_Address,Property_Type,BHK,Carpet_Area_sqft,Built_up_Area_sqft,Plot_Area_sqft,Property_Age_Years,Floor_Total_Floors,Parking,Lift,Facing,Actual_Transaction_Price_INR,Rental_Price_INR,Builder,RERA_ID,Registration_Date,Metro_Highway_Distance_km,Nearby_Schools_Hospitals
Mumbai,East,Worli,20.1056_77.0609,"Synthetic Address, Worli, Mumbai",Apartment,1,416,540.8000000000001,0,18,7/23,2 Covered,2,West,30261747.475333218,58724.779407212736,Builder 23,P6670445406,2026-05-23,7.3,2 Schools / 5 Hospitals
Nagpur,South,Wardha Road,19.1137_77.5289,"Synthetic Address, Wardha Road, Nagpur",Apartment,2,1156,1502.8,0,13,15/21,2 Covered,1,North-East,7126237.387062601,19119.362206389495,Builder 26,P2473418525,2026-01-15,6.1,4 Schools / 1 Hospitals
Nagpur,East,Katol Road,21.1429_75.0151,"Synthetic Address, Katol Road, Nagpur",Apartment,3,1359,1766.7,0,0,12/12,3 Open,2,East,6006422.28165985,19308.10004190894,Builder 25,P3036584884,2025-12-27,1.7,1 Schools / 3 Hospitals
Nagpur,Central,Zingabai Takli,20.0813_73.3152,"Synthetic Address, Zingabai Takli, Nagpur",Apartment,2,1188,1544.4,0,19,3/5,1 Open,3,East,21035213.33849751,57463.50187813964,Builder 10,P7494477193,2024-08-08,8.1,1 Schools / 5 Hospitals
Nagpur,South,Dharampeth,21.2999_73.8980,"Synthetic Address, Dharampeth, Nagpur",Apartment,1,571,742.3000000000001,0,9,8/9,2 Open,1,East,3625016.726407594,6739.777084435093,Builder 46,P4190100041,2025-05-06,2.3,2 Schools / 1 Hospitals
Nashik,East,Jail Road,21.8838_73.0302,"Synthetic Address, Jail Road, Nashik",Apartment,3,1782,2316.6,0,10,4/7,2 Open,3,South,18396314.03044965,38427.14438886592,Builder 44,P2669925531,2025-11-07,4.5,4 Schools / 4 Hospitals
Nagpur,West,Katol Road,18.4938_72.8076,"Synthetic Address, Katol Road, Nagpur",Apartment,2,1080,1404.0,0,13,4/4,2 Covered,3,East,9600138.585354272,21848.89909096881,Builder 30,NA,2024-12-10,4.3,1 Schools / 4 Hospitals
Pune,East,Wagholi,18.2212_74.0170,"Synthetic Address, Wagholi, Pune",Apartment,1,532,691.6,0,18,12/32,3 Covered,4,North,8175427.680346195,25496.818674889004,Builder 48,P2136363945,2024-04-05,2.3,5 Schools / 3 Hospitals
Nashik,East,Indira Nagar,19.3153_74.3028,"Synthetic Address, Indira Nagar, Nashik",Apartment,4,1680,2184.0,0,16,5/14,0 Covered,4,East,5943235.948937643,15030.162731636015,Builder 32,P9186439301,2024-12-25,1.2,4 Schools / 5 Hospitals
Pune,East,Pimpri,19.0077_78.8295,"Synthetic Address, Pimpri, Pune",Apartment,3,1260,1638.0,0,4,19/35,0 Open,1,North-West,13477908.285850028,32802.667908868745,Builder 39,NA,2025-01-13,7.7,3 Schools / 2 Hospitals
Pune,West,Hadapsar,21.2799_73.8667,"Synthetic Address, Hadapsar, Pune",Apartment,2,1198,1557.4,0,2,13/21,3 Open,3,West,13052857.414261367,42451.41118010945,Builder 5,P8683870010,2024-04-07,5.7,5 Schools / 3 Hospitals
Pune,West,Hadapsar,19.4178_75.1248,"Synthetic Address, Hadapsar, Pune",Villa/Row House,2,1136,1476.8,2917.646353792773,8,0/3,2 Covered,0,South,16824335.894146465,40049.86456712713,Builder 48,P4502815795,2025-04-17,5.7,5 Schools / 1 Hospitals
Nashik,South,Gangapur Road,21.8750_78.2647,"Synthetic Address, Gangapur Road, Nashik",Apartment,2,926,1203.8,0,10,4/37,3 Covered,2,East,5024863.563840639,10307.189970214813,Builder 31,P6313803298,2024-03-04,3.7,2 Schools / 1 Hospitals
Pune,West,Wagholi,21.0567_76.1718,"Synthetic Address, Wagholi, Pune",Apartment,2,1178,1531.4,0,16,24/37,0 Open,4,North-West,7119591.7852992425,12430.88673574529,Builder 7,P2537642935,2024-02-19,0.8,5 Schools / 2 Hospitals
Nashik,North,Jail Road,19.7512_78.4632,"Synthetic Address, Jail Road, Nashik",Villa/Row House,3,1443,1875.9,3641.068496846976,16,0/2,0 Covered,0,North-West,9966306.880075207,22837.474713518444,Builder 14,NA,2024-11-05,3.8,4 Schools / 4 Hospitals
Nashik,West,Mahatma Nagar,19.9479_74.3833,"Synthetic Address, Mahatma Nagar, Nashik",Plot,0,0,0,1659,7,0/3,2 Covered,0,North-West,6342457.274070682,0,Builder 11,NA,2026-01-10,2.7,1 Schools / 4 Hospitals
Nagpur,East,Manish Nagar,19.6311_76.9954,"Synthetic Address, Manish Nagar, Nagpur",Apartment,2,880,1144.0,0,19,10/10,2 Covered,1,South,11181091.20932345,25270.492489146403,Builder 48,NA,2024-10-05,4.6,3 Schools / 4 Hospitals
Nashik,West,Pathardi Phata,18.5715_72.1411,"Synthetic Address, Pathardi Phata, Nashik",Apartment,3,1404,1825.2,0,13,3/27,0 Covered,3,North-East,14505986.54777137,41993.41232060533,Builder 11,P8898158972,2024-12-19,7.5,5 Schools / 4 Hospitals
Pune,South,Pimpri,19.1486_77.2395,"Synthetic Address, Pimpri, Pune",Apartment,3,1611,2094.3,0,7,9/35,2 Covered,2,North,16975116.308699206,34170.79755886199,Builder 41,NA,2025-09-02,2.9,3 Schools / 4 Hospitals
Nagpur,East,Dabha,18.8606_79.9273,"Synthetic Address, Dabha, Nagpur",Apartment,1,404,525.2,0,10,15/30,1 Open,4,North,1083859.6025851166,2787.607781462102,Builder 3,P3270858331,2025-07-15,3.8,5 Schools / 2 Hospitals
Pune,North,Hinjewadi,18.0592_77.8114,"Synthetic Address, Hinjewadi, Pune",Apartment,3,1437,1868.1000000000001,0,7,5/28,2 Covered,1,East,14504280.642022053,38174.12067232741,Builder 2,P6099654956,2025-09-27,3.2,5 Schools / 5 Hospitals
Pune,West,Baner,21.7821_77.9248,"Synthetic Address, Baner, Pune",Apartment,2,938,1219.4,0,10,30/30,3 Open,4,North-East,12152262.973793287,35910.86295835018,Builder 27,NA,2025-09-07,7.0,5 Schools / 4 Hospitals
Nashik,East,Mahatma Nagar,18.6875_77.4539,"Synthetic Address, Mahatma Nagar, Nashik",Apartment,1,417,542.1,0,8,28/38,3 Covered,2,South,2128948.142980996,4271.770068710103,Builder 19,P6587840357,2025-11-06,3.2,1 Schools / 3 Hospitals
Nashik,South,Mahatma Nagar,19.2705_76.3139,"Synthetic Address, Mahatma Nagar, Nashik",Apartment,3,1632,2121.6,0,4,1/36,3 Open,2,East,6901354.62168735,15921.000101536505,Builder 30,P8537528760,2025-04-01,0.6,5 Schools / 2 Hospitals
Pune,North,Baner,21.4237_76.8678,"Synthetic Address, Baner, Pune",Apartment,3,1335,1735.5,0,8,24/34,1 Covered,1,West,9040685.935519235,24681.774990164067,Builder 9,P2325407989,2024-03-09,2.0,3 Schools / 5 Hospitals
Pune,South,Kharadi,19.0536_73.2205,"Synthetic Address, Kharadi, Pune",Apartment,3,1635,2125.5,0,10,2/11,0 Open,4,South,18048596.522004947,40371.886557642334,Builder 39,NA,2026-03-02,2.2,1 Schools / 5 Hospitals
Mumbai,East,Bandra,19.9924_74.5246,"Synthetic Address, Bandra, Mumbai",Apartment,3,1407,1829.1000000000001,0,1,11/20,0 Open,4,North-West,74563084.43949768,219793.97569906057,Builder 31,P5637383424,2025-04-15,5.5,1 Schools / 4 Hospitals
Pune,North,Kharadi,21.3131_78.2615,"Synthetic Address, Kharadi, Pune",Apartment,4,2336,3036.8,0,4,11/26,3 Covered,1,North,21912309.195582945,50411.99379870177,Builder 21,NA,2024-04-14,7.6,1 Schools / 5 Hospitals
Mumbai,East,Andheri,18.1137_78.9730,"Synthetic Address, Andheri, Mumbai",Apartment,3,1341,1743.3,0,14,13/34,1 Open,1,West,131860089.93224007,351376.2058897128,Builder 26,P6347504524,2024-03-18,7.3,2 Schools / 1 Hospitals
Nagpur,North,Wathoda,18.1350_73.0156,"Synthetic Address, Wathoda, Nagpur",Villa/Row House,2,878,1141.4,2218.9611160245763,13,0/1,2 Open,0,West,11075284.46037734,22502.18032249289,Builder 23,P5472535391,2025-10-19,4.6,4 Schools / 2 Hospitals
Mumbai,East,Powai,18.1843_72.2300,"Synthetic Address, Powai, Mumbai",Apartment,2,864,1123.2,0,19,1/22,3 Covered,3,West,66112073.37776677,205789.75357485187,Builder 17,P1375664548,2026-02-14,1.6,4 Schools / 2 Hospitals
Nashik,North,Indira Nagar,21.2270_72.0044,"Synthetic Address, Indira Nagar, Nashik",Plot,0,0,0,4549,9,0/1,2 Covered,0,North-West,33101028.98197157,0,Builder 16,P4525592105,2025-08-12,2.0,1 Schools / 2 Hospitals
Pune,East,Hinjewadi,18.5810_73.4327,"Synthetic Address, Hinjewadi, Pune",Apartment,1,554,720.2,0,13,1/20,3 Open,4,North,3361809.9243651726,6927.447244432708,Builder 6,NA,2025-12-20,5.4,3 Schools / 1 Hospitals
Nagpur,Central,Katol Road,19.1839_77.2712,"Synthetic Address, Katol Road, Nagpur",Apartment,2,1128,1466.4,0,17,13/29,2 Covered,4,North-East,19588356.229044847,63715.55214812006,Builder 50,P1053885818,2026-03-01,3.3,1 Schools / 1 Hospitals
Pune,West,Hadapsar,21.8612_73.0732,"Synthetic Address, Hadapsar, Pune",Villa/Row House,2,836,1086.8,1747.1106340040667,5,0/2,0 Open,0,South,11822611.53797264,20572.186825377637,Builder 16,NA,2025-01-30,3.2,5 Schools / 1 Hospitals
Mumbai,North,Chembur,20.4460_75.4963,"Synthetic Address, Chembur, Mumbai",Apartment,1,543,705.9,0,15,4/24,0 Open,4,North,8143990.292474206,21271.54796448449,Builder 1,P5223225665,2024-05-15,8.3,5 Schools / 4 Hospitals
Nashik,North,Mahatma Nagar,20.4179_78.0302,"Synthetic Address, Mahatma Nagar, Nashik",Apartment,3,1275,1657.5,0,1,14/34,1 Covered,4,West,13633289.439697338,26282.451806434914,Builder 16,P5434409035,2025-03-08,5.1,4 Schools / 4 Hospitals
Nagpur,Central,Wathoda,18.6511_74.6688,"Synthetic Address, Wathoda, Nagpur",Apartment,3,1695,2203.5,0,11,2/31,2 Open,1,North,4639333.375102359,13201.680486497635,Builder 14,P6868066347,2024-02-02,4.7,4 Schools / 3 Hospitals
Pune,East,Pimpri,20.8795_74.1520,"Synthetic Address, Pimpri, Pune",Apartment,1,543,705.9,0,14,5/5,3 Covered,3,East,6251388.437194312,14146.348719869946,Builder 41,P5545690362,2026-02-13,1.6,1 Schools / 5 Hospitals
Nashik,South,Mahatma Nagar,20.7881_76.3172,"Synthetic Address, Mahatma Nagar, Nashik",Villa/Row House,3,1230,1599.0,2714.7184679573224,5,0/3,2 Covered,0,North-East,16473473.18311653,42069.65484153179,Builder 18,P7114426525,2024-05-29,6.2,3 Schools / 4 Hospitals
Nashik,West,Indira Nagar,18.1307_78.7177,"Synthetic Address, Indira Nagar, Nashik",Apartment,2,1146,1489.8,0,13,10/14,1 Open,2,North-East,10023681.422696745,18951.620011307165,Builder 30,P8867310703,2026-05-30,9.0,4 Schools / 1 Hospitals
Mumbai,South,Chembur,19.1786_79.6552,"Synthetic Address, Chembur, Mumbai",Apartment,1,443,575.9,0,18,9/34,1 Covered,2,North-West,10649827.97208114,19492.048966769642,Builder 2,P6363737375,2026-05-21,6.9,5 Schools / 4 Hospitals
Mumbai,North,Andheri,18.8719_77.6207,"Synthetic Address, Andheri, Mumbai",Apartment,2,1008,1310.4,0,0,30/35,1 Covered,2,North,97804688.75246942,202657.4045689539,Builder 35,P4792872737,2026-06-18,2.1,3 Schools / 1 Hospitals
Mumbai,South,Bandra,18.0531_74.5652,"Synthetic Address, Bandra, Mumbai",Apartment,2,1106,1437.8,0,0,2/4,2 Open,4,West,66958443.7475852,118450.1337388105,Builder 3,P7494742666,2025-07-28,7.6,3 Schools / 5 Hospitals
Pune,East,NIBM Road,18.1369_75.0191,"Synthetic Address, NIBM Road, Pune",Apartment,2,990,1287.0,0,1,3/12,0 Open,4,East,11701075.740046699,21395.43644159383,Builder 47,P2410554129,2025-05-10,5.0,4 Schools / 5 Hospitals
Nashik,North,Jail Road,19.5803_72.3119,"Synthetic Address, Jail Road, Nashik",Apartment,2,934,1214.2,0,2,18/22,1 Covered,1,North-West,3441584.7134359484,6458.567641855251,Builder 37,P7044122977,2024-05-12,0.6,2 Schools / 4 Hospitals
Nagpur,West,Dharampeth,19.5529_78.3248,"Synthetic Address, Dharampeth, Nagpur",Apartment,3,1758,2285.4,0,3,7/14,1 Open,1,North-West,29310036.424879692,96496.61962527437,Builder 7,NA,2024-05-26,1.1,2 Schools / 4 Hospitals
Mumbai,West,Chembur,18.0140_73.3129,"Synthetic Address, Chembur, Mumbai",Apartment,3,1728,2246.4,0,9,3/16,0 Open,4,West,186532284.68190387,342555.57431885635,Builder 13,NA,2024-11-15,5.5,3 Schools / 3 Hospitals
Mumbai,South,Chembur,21.1198_72.9702,"Synthetic Address, Chembur, Mumbai",Apartment,2,1066,1385.8,0,9,9/28,1 Covered,4,North-East,97051868.33266728,285043.16279039363,Builder 40,NA,2026-06-11,0.8,1 Schools / 3 Hospitals
Pune,South,Baner,18.1650_76.5291,"Synthetic Address, Baner, Pune",Apartment,2,814,1058.2,0,3,5/17,0 Covered,3,North,11337096.374465924,29278.302198186957,Builder 1,P4143043049,2024-05-27,2.8,3 Schools / 3 Hospitals
Nashik,North,Jail Road,18.6540_73.8350,"Synthetic Address, Jail Road, Nashik",Apartment,4,2228,2896.4,0,19,16/19,3 Open,3,North-West,20908681.238511015,42808.674262174085,Builder 36,P9625434220,2025-06-03,2.3,5 Schools / 4 Hospitals
Nashik,West,Panchvati,18.6356_72.9496,"Synthetic Address, Panchvati, Nashik",Apartment,2,946,1229.8,0,18,24/38,3 Open,2,West,6470633.754246473,20227.886869831767,Builder 2,NA,2024-06-07,3.8,1 Schools / 5 Hospitals
Pune,East,Wagholi,21.1628_72.5632,"Synthetic Address, Wagholi, Pune",Apartment,1,438,569.4,0,19,5/17,0 Open,3,North-East,5709279.276734964,17644.66001962346,Builder 24,P5281669177,2024-06-17,5.5,4 Schools / 5 Hospitals
Pune,West,Pimpri,21.6362_72.1372,"Synthetic Address, Pimpri, Pune",Villa/Row House,2,996,1294.8,2238.444371449234,18,0/1,2 Open,0,West,7514131.1280608885,21334.094622841694,Builder 10,P1673781279,2024-06-16,3.2,2 Schools / 2 Hospitals
Mumbai,East,Worli,19.9953_76.6332,"Synthetic Address, Worli, Mumbai",Apartment,2,1158,1505.4,0,6,5/11,1 Covered,4,North-East,120523722.0524465,252617.57244093157,Builder 10,NA,2026-04-04,7.0,2 Schools / 3 Hospitals
Pune,North,Balewadi,20.9684_76.2776,"Synthetic Address, Balewadi, Pune",Apartment,3,1698,2207.4,0,19,18/28,2 Covered,2,North,23266231.33989468,52745.60946868886,Builder 5,P6485281353,2025-02-07,3.8,3 Schools / 4 Hospitals
Nagpur,Central,Katol Road,20.9561_72.9072,"Synthetic Address, Katol Road, Nagpur",Apartment,1,582,756.6,0,9,6/7,1 Open,4,North-West,9583941.25067399,26974.036215604243,Builder 5,NA,2025-09-05,9.0,3 Schools / 3 Hospitals
Pune,East,Baner,20.0727_76.5732,"Synthetic Address, Baner, Pune",Apartment,3,1509,1961.7,0,1,27/36,3 Open,3,North,16444925.773820624,39185.43782164185,Builder 31,P7534367139,2025-04-10,1.0,1 Schools / 5 Hospitals
Nagpur,East,Dabha,20.6759_74.6989,"Synthetic Address, Dabha, Nagpur",Apartment,2,912,1185.6000000000001,0,20,7/23,0 Open,4,West,3328927.1151440926,9340.986750447764,Builder 20,P3060884207,2026-06-18,4.9,3 Schools / 2 Hospitals
Nagpur,North,Dharampeth,18.7061_73.6588,"Synthetic Address, Dharampeth, Nagpur",Apartment,2,968,1258.4,0,0,5/5,0 Open,2,North-East,18660493.445657067,48094.46630954804,Builder 13,NA,2026-01-19,7.7,1 Schools / 1 Hospitals
Nagpur,East,Zingabai Takli,20.4766_73.6532,"Synthetic Address, Zingabai Takli, Nagpur",Apartment,2,1184,1539.2,0,7,1/26,0 Open,2,North-West,10015782.625454077,16906.29738057953,Builder 30,NA,2024-07-19,2.6,4 Schools / 3 Hospitals
Mumbai,West,Borivali,18.8912_74.2068,"Synthetic Address, Borivali, Mumbai",Apartment,3,1233,1602.9,0,18,24/39,3 Open,1,North,124694828.57461165,262839.4449146899,Builder 27,P1584016327,2024-09-10,3.0,2 Schools / 1 Hospitals
Nagpur,North,Wathoda,20.0268_74.2892,"Synthetic Address, Wathoda, Nagpur",Apartment,1,442,574.6,0,15,21/33,1 Covered,3,North,4432632.639645068,9023.537910612984,Builder 28,P3942873676,2025-01-30,0.5,1 Schools / 5 Hospitals
Pune,East,NIBM Road,19.5497_72.1762,"Synthetic Address, NIBM Road, Pune",Apartment,3,1206,1567.8,0,20,6/18,3 Covered,4,North-East,13083193.996341197,22921.932648174916,Builder 49,NA,2024-08-29,3.2,3 Schools / 1 Hospitals
Nagpur,North,Dharampeth,18.6065_78.7544,"Synthetic Address, Dharampeth, Nagpur",Apartment,2,1150,1495.0,0,13,10/13,3 Covered,4,East,13621174.950988794,28307.904736010067,Builder 34,NA,2024-07-30,4.4,5 Schools / 1 Hospitals
Nashik,North,Mahatma Nagar,18.1936_72.6919,"Synthetic Address, Mahatma Nagar, Nashik",Apartment,2,878,1141.4,0,8,6/7,2 Covered,3,West,9823981.083423762,27611.66853661473,Builder 24,P7304080453,2025-01-07,3.8,3 Schools / 1 Hospitals
Mumbai,West,Powai,19.0446_76.5678,"Synthetic Address, Powai, Mumbai",Apartment,4,2088,2714.4,0,3,17/33,1 Open,3,North,56740852.48797807,171439.56970376757,Builder 24,P4106778311,2026-05-23,0.9,2 Schools / 2 Hospitals
Nagpur,South,Dabha,19.4219_78.1590,"Synthetic Address, Dabha, Nagpur",Apartment,2,1042,1354.6000000000001,0,3,2/9,2 Open,3,West,4607392.329437298,12879.781017741489,Builder 7,NA,2024-09-28,4.7,5 Schools / 5 Hospitals
Nashik,South,Jail Road,20.5003_73.9106,"Synthetic Address, Jail Road, Nashik",Apartment,2,844,1097.2,0,19,1/30,1 Covered,3,North-East,3047422.6312511396,7920.038835319038,Builder 18,P4515468521,2026-02-24,8.2,5 Schools / 1 Hospitals
Nashik,South,Indira Nagar,19.6558_72.2814,"Synthetic Address, Indira Nagar, Nashik",Apartment,1,565,734.5,0,5,5/8,3 Covered,2,North-East,5653177.82205491,11468.691959301177,Builder 48,P8577330023,2025-01-31,3.4,3 Schools / 2 Hospitals
Pune,South,Kharadi,20.7803_73.1197,"Synthetic Address, Kharadi, Pune",Apartment,1,584,759.2,0,5,9/38,0 Open,3,East,5704032.020171732,16907.643900531784,Builder 2,P2652443813,2025-08-13,1.7,1 Schools / 2 Hospitals
Nashik,North,Jail Road,21.0404_75.8433,"Synthetic Address, Jail Road, Nashik",Apartment,3,1257,1634.1000000000001,0,8,28/28,1 Open,1,North-West,15278719.604735117,43094.97011705698,Builder 43,P3363067478,2025-01-07,3.3,1 Schools / 4 Hospitals
Nagpur,West,Mihan,18.0295_77.2648,"Synthetic Address, Mihan, Nagpur",Apartment,1,478,621.4,0,1,12/14,2 Open,4,West,1754731.1000928248,4261.960158475279,Builder 15,NA,2025-01-16,3.6,3 Schools / 2 Hospitals
Nashik,West,Mahatma Nagar,20.3479_73.9047,"Synthetic Address, Mahatma Nagar, Nashik",Apartment,4,2204,2865.2000000000003,0,9,18/27,0 Open,2,North,9798988.02757527,18579.15723766397,Builder 36,NA,2024-06-26,2.6,1 Schools / 2 Hospitals
Nashik,East,Mahatma Nagar,18.9437_79.6997,"Synthetic Address, Mahatma Nagar, Nashik",Apartment,3,1299,1688.7,0,3,1/17,3 Covered,3,North,7442017.722918352,24240.570969646073,Builder 17,P3333992563,2026-01-10,2.0,4 Schools / 4 Hospitals
Pune,West,Hadapsar,20.4961_78.0951,"Synthetic Address, Hadapsar, Pune",Apartment,3,1539,2000.7,0,14,3/11,1 Open,3,West,18357747.134877775,59029.92669494639,Builder 7,P9813671153,2026-05-19,7.8,4 Schools / 1 Hospitals
Nashik,North,Pathardi Phata,21.2336_76.0313,"Synthetic Address, Pathardi Phata, Nashik",Apartment,2,940,1222.0,0,0,1/33,3 Open,4,West,10705406.834007842,28079.34195704176,Builder 6,P7852871270,2024-11-15,9.0,2 Schools / 5 Hospitals
Pune,South,Kharadi,18.3057_77.7181,"Synthetic Address, Kharadi, Pune",Apartment,4,2300,2990.0,0,11,3/38,1 Open,4,East,33088315.02139193,66568.34576877697,Builder 29,P7556765322,2024-10-22,2.9,3 Schools / 1 Hospitals
Nagpur,South,Zingabai Takli,19.9865_74.1593,"Synthetic Address, Zingabai Takli, Nagpur",Apartment,1,584,759.2,0,14,2/28,3 Open,4,North-West,3095368.7933150777,5292.256681132848,Builder 46,P6636643757,2025-07-30,9.1,2 Schools / 4 Hospitals
Pune,East,Wagholi,19.1149_77.5792,"Synthetic Address, Wagholi, Pune",Apartment,3,1209,1571.7,0,15,28/34,3 Covered,3,North,9723052.917588389,17408.868845500474,Builder 24,NA,2025-06-05,9.5,1 Schools / 2 Hospitals
Mumbai,East,Borivali,19.2395_78.6499,"Synthetic Address, Borivali, Mumbai",Villa/Row House,2,996,1294.8,2511.6171314552907,13,0/3,1 Covered,0,North-East,35259761.5290217,88385.8117699349,Builder 36,NA,2024-04-08,6.2,1 Schools / 3 Hospitals
Nagpur,Central,Manish Nagar,20.3368_75.2760,"Synthetic Address, Manish Nagar, Nagpur",Apartment,4,2028,2636.4,0,20,9/25,1 Covered,3,South,19180971.859802783,41556.66799291279,Builder 30,P2327787105,2026-01-23,5.3,4 Schools / 4 Hospitals
Nashik,West,Jail Road,20.4492_74.2266,"Synthetic Address, Jail Road, Nashik",Apartment,1,583,757.9,0,9,10/15,3 Open,3,East,4186855.52396738,7585.74687909563,Builder 7,P9169379934,2024-10-24,1.2,5 Schools / 3 Hospitals
Pune,West,NIBM Road,21.4030_72.9175,"Synthetic Address, NIBM Road, Pune",Apartment,2,1010,1313.0,0,1,4/38,2 Covered,3,North-West,14476787.497085568,43121.26350295633,Builder 41,P9420861571,2024-06-16,7.1,4 Schools / 5 Hospitals
Pune,East,Wagholi,19.8371_75.8178,"Synthetic Address, Wagholi, Pune",Apartment,3,1212,1575.6000000000001,0,14,3/3,2 Covered,4,South,15737599.80136095,33439.01677228815,Builder 17,P8168670881,2024-09-17,5.0,1 Schools / 2 Hospitals
Pune,South,Balewadi,19.8271_73.9828,"Synthetic Address, Balewadi, Pune",Apartment,3,1422,1848.6000000000001,0,9,10/18,1 Open,2,West,9139283.046832778,24871.84644834021,Builder 36,NA,2026-02-20,9.3,2 Schools / 3 Hospitals
Nagpur,South,Wathoda,21.8581_74.8114,"Synthetic Address, Wathoda, Nagpur",Apartment,1,430,559.0,0,20,4/29,0 Open,3,North-East,3171311.4658099874,7639.446645643579,Builder 46,P1239688941,2025-12-14,6.9,2 Schools / 3 Hospitals
Mumbai,North,Mira Road,18.7876_79.9205,"Synthetic Address, Mira Road, Mumbai",Apartment,1,418,543.4,0,10,1/14,1 Open,3,West,19732213.612774476,61992.778450544225,Builder 50,P8474015123,2025-01-07,3.9,3 Schools / 3 Hospitals
Pune,West,Hadapsar,20.5229_72.3527,"Synthetic Address, Hadapsar, Pune",Apartment,1,480,624.0,0,1,8/26,1 Covered,4,North-East,6121917.086435372,12247.459627406437,Builder 23,P8526081714,2024-08-09,4.9,1 Schools / 3 Hospitals
Mumbai,East,Worli,20.9203_73.4020,"Synthetic Address, Worli, Mumbai",Apartment,2,880,1144.0,0,10,3/3,1 Open,4,South,72657193.99256745,121108.55277310294,Builder 18,P2620889563,2024-07-31,2.0,5 Schools / 2 Hospitals
